Student_ID,SSC_Percentage,HSC_Percentage,Degree_Percentage,Entrance_Exam_Score,CGPA,Technical_Skill_Score,Soft_Skill_Score,Internship_Count,Live_Projects,Work_Experience_Months,Certifications,Attendance_Percentage,History_of_Backlogs,Placement_Status,Salary_Package_LPA
STU0001,94.25,80.74,73.01,81.29,9.25,80.03,74.25,2,0,0,0,85.62,0,Placed,10.86
STU0002,79.10,90.88,94.39,75.50,9.72,94.33,77.38,0,3,0,0,80.13,0,Placed,8.80
STU0003,89.32,86.20,93.80,94.67,9.17,78.36,76.79,1,4,0,2,85.13,0,Placed,8.99
STU0004,80.71,71.62,70.41,87.41,8.13,92.02,81.31,3,1,0,2,90.91,0,Placed,8.81
STU0005,86.97,75.59,89.96,75.59,9.77,78.54,72.77,1,2,0,1,89.86,0,Placed,10.98
STU0006,56.55,50.35,51.92,63.93,5.78,68.33,54.05,0,0,0,0,72.15,0,Not Placed,0
STU0007,92.86,93.75,73.20,82.48,8.82,89.81,88.36,1,0,1,1,88.80,0,Placed,8.40
STU0008,92.67,86.72,91.65,83.95,9.61,90.83,82.53,3,3,0,0,91.73,0,Placed,10.63
STU0009,74.44,68.57,63.87,49.67,5.60,57.52,55.65,0,1,0,0,77.58,0,Not Placed,0
STU0010,77.91,79.25,93.65,68.20,8.55,83.78,79.30,1,4,0,2,82.99,0,Placed,8.39
STU0011,76.26,74.43,82.55,69.53,9.25,77.80,75.80,0,4,8,2,81.50,0,Placed,9.59
STU0012,63.42,65.89,67.12,41.45,5.59,59.83,50.41,1,1,0,0,69.14,1,Not Placed,0
STU0013,71.66,80.60,83.27,69.33,8.29,90.85,70.31,1,1,0,2,85.55,0,Placed,7.94
STU0014,51.50,59.64,56.54,55.56,6.03,58.43,60.28,1,1,0,0,67.15,0,Not Placed,0
STU0015,73.03,71.77,50.30,58.20,7.89,53.04,70.71,1,1,0,0,68.84,2,Not Placed,0
STU0016,79.72,70.67,84.61,88.20,8.51,75.19,90.96,3,0,0,2,82.39,0,Placed,9.99
STU0017,73.99,77.69,90.91,94.03,9.27,83.63,78.04,2,2,0,0,93.93,0,Placed,9.11
STU0018,63.53,61.27,66.95,60.02,7.05,60.72,57.60,1,0,0,0,74.88,0,Not Placed,0
STU0019,57.39,50.72,59.08,56.19,6.46,60.77,68.24,0,0,0,0,74.84,2,Not Placed,0
STU0020,88.88,92.49,89.01,85.43,8.31,78.46,89.39,0,0,0,1,86.89,0,Placed,8.42
STU0021,88.63,92.57,89.62,81.40,8.68,85.50,93.43,0,4,0,2,93.50,0,Placed,8.78
STU0022,53.43,52.79,55.26,59.93,5.66,57.10,71.73,0,1,0,0,72.39,0,Not Placed,0
STU0023,86.55,76.27,72.75,84.71,8.99,86.01,83.07,3,1,0,2,98.25,0,Placed,9.06
STU0024,74.99,53.46,71.09,47.76,7.22,63.27,69.21,0,1,0,0,68.27,0,Not Placed,0
STU0025,86.15,82.54,79.38,69.73,7.88,78.56,77.80,2,1,0,2,80.83,0,Placed,7.31
STU0026,89.75,73.54,74.76,82.95,7.91,81.99,83.74,2,1,0,1,91.55,0,Placed,8.18
STU0027,92.31,82.83,93.83,69.90,7.91,93.47,94.10,3,2,0,2,85.82,0,Placed,9.12
STU0028,75.19,76.24,88.93,71.81,8.27,83.35,93.31,1,1,0,1,87.69,0,Placed,7.90
STU0029,91.79,74.13,87.66,77.82,7.96,89.15,72.55,3,2,0,0,96.98,0,Placed,8.29
STU0030,67.37,55.87,60.38,67.30,7.48,69.63,65.94,1,0,0,0,73.49,1,Not Placed,0
STU0031,79.48,79.15,94.71,86.32,7.71,94.22,86.40,3,4,0,0,95.05,0,Placed,7.88
STU0032,75.67,81.73,78.23,83.97,7.55,85.24,91.57,1,1,0,1,83.46,0,Placed,7.49
STU0033,84.31,89.96,87.44,91.11,8.44,81.41,73.60,3,2,0,2,84.95,0,Placed,8.30
STU0034,58.81,56.61,65.13,45.68,5.94,59.03,56.18,0,1,0,0,68.04,0,Not Placed,0
STU0035,87.48,80.66,89.45,89.54,9.27,75.00,74.41,0,2,0,2,96.57,0,Placed,8.85
STU0036,89.99,86.10,91.92,82.08,8.15,83.53,80.83,2,0,11,2,94.40,0,Placed,7.90
STU0037,81.28,86.53,86.09,86.82,8.23,88.03,70.44,0,4,9,1,93.58,0,Placed,7.69
